订单编号,订单状态,下单时间,支付时间,发货时间,商品型号,商品件数,商品ID,SKU ID
"	819695403289342",已关闭,11/13/2022 10:31,,,桃木褐30号,1,5730170770,85770385833
"	819687287563340",已关闭,11/13/2022 10:31,11/13/2022 10:31,,狐狸灰32号,1,5730170770,85770539834
"	819687142749192",已关闭,11/13/2022 10:30,,,狐狸灰30号,1,5730170770,85770539832
"	819695230705304",已发货,11/13/2022 10:28,11/13/2022 10:38,11/14/2022 13:13,狐狸灰34号,1,5730170770,85770539836
"	819695724056912",已发货,11/13/2022 10:28,11/13/2022 10:28,11/14/2022 13:12,狐狸灰32号,1,5730170770,85770539834
"	819695659107732",已关闭,11/13/2022 10:27,,,狐狸灰32号,1,5730170770,85770539834
"	819687222328310",已关闭,11/13/2022 10:27,11/13/2022 10:27,,狐狸灰32号,1,5730170770,85770539834
"	819695610647175",已发货,11/13/2022 10:25,11/13/2022 10:26,11/14/2022 13:12,狐狸灰32号,1,5730170770,85770539834
"	819686810153843",已发货,11/13/2022 10:23,11/13/2022 10:23,11/14/2022 13:09,狐狸灰30号,1,5730170770,85770539832
"	819695610123711",已发货,11/13/2022 10:23,11/13/2022 10:23,11/14/2022 13:05,桃木褐30号,1,5730170770,85770385833
"	819686857728359",已关闭,11/13/2022 10:23,11/13/2022 10:29,,狐狸灰36号,1,5730170770,85770539838
"	819687141686871",已发货,11/13/2022 10:22,11/13/2022 10:22,11/14/2022 13:13,狐狸灰34号,1,5730170770,85770539836
"	819687285994527",已发货,11/13/2022 10:21,11/13/2022 11:05,11/14/2022 13:12,狐狸灰32号,1,5730170770,85770539834
"	819687253671542",已发货,11/13/2022 10:21,11/13/2022 10:21,11/14/2022 13:13,狐狸灰34号,1,5730170770,85770539836
"	819687060646491",已发货,11/13/2022 10:20,11/13/2022 10:20,11/14/2022 13:06,桃木褐32号,1,5730170770,85770385835
"	819686711993238",已发货,11/13/2022 10:20,11/13/2022 10:20,11/14/2022 13:07,桃木褐34号;狐狸灰34号,1;1,5730170770;5730170770,85770385837;85770539836
"	819686761014204",已关闭,11/13/2022 10:19,,,狐狸灰32号,1,5730170770,85770539834
"	819686968782848",已发货,11/13/2022 10:19,11/13/2022 10:20,11/14/2022 13:09,狐狸灰30号,1,5730170770,85770539832
"	819695449149821",已关闭,11/13/2022 10:18,,,桃木褐30号,1,5730170770,85770385833
"	819695593427372",已发货,11/13/2022 10:18,11/13/2022 10:30,11/14/2022 13:12,狐狸灰32号,1,5730170770,85770539834
"	819687173517224",已发货,11/13/2022 10:17,11/13/2022 10:52,11/14/2022 13:09,狐狸灰30号,1,5730170770,85770539832
